Gene Set	Condition	evidence_source	Source	biomarker	best_biomarker_role	assessed_biomarker_entity																																																																																																																																																																										
Heart Failure and CRIDS	Iron deficiency anemia	34816550	PubMed	Differentially expressed CRIDS marker {gene}	prognostic_biomarker	TNFRSF14	TNFRSF1B	EPHB4	IL2RA	TNFRSF11B	TFF3	MEPE	HSPG2	LTBR	NOTCH3	TIMP4	FABP4	GDF15	DLK1	SPON1	CXCL16	RETN	IGFBP1	AXL	IL1R1	MB	TNFSF13B	PLAUR	SPP1	PGLYRP1	CPA1	SIRPA	CCL15	CPB1	CHI3L1	IL1RL1	SCGB3A2	IGFBP7	CD93	IL18BP	COL1A1	PON3	MMP3	IGFBP2	NPPA	CCL16	TFRC	BMP6	ANGPT1	ADM	CD40LG	PGF	IL4R	TNFRSF10A	TNFRSF11A	F2R	TNFRSF10B	PDGFB	IL27	LGALS9	FGF21	AGER	FGF23	GH1	FST	HAVCR1	VSIG2	XCL1	CEACAM8	PTX3	CCL17	CCL3	FCGR2B	AGRP	NPPB	PDCD1LG2	CTSL	TNFRSF13B	CA5A	CD4	PSIP1	ITGA6	CDSN	LILRB4	KRT19	ITM2A	HNMT	MILR1	CKAP4	CLEC4D	TREM1	CXADR	FAM3B	NCR1	LAMP3	CLEC7A	CLEC6A	BTN3A2	VEGFA	MSLN	TNFSF13	EGF	TNFRSF6B	SDC1	TGFBR2	IFNGR1	KLK11	TFPI2	IGF1R	TGFA	NECTIN4	EPHA2	CA9	CD27	HGF	NT5E	DLL1	MDK	VIM	TNFRSF19	CD160	TNFRSF4	CCN4	CXCL17	PPY	ESM1	WFDC2	CXCL13	ADAMTS15	RSPO3	MUC16	WIF1	FCRLB	FOLR1	IL6	AREG																																								
Heart Failure and CKD	Chronic kidney disease	34816550	PubMed	Differentially expressed CKD marker {gene}	prognostic_biomarker	TNFRSF14	TNFRSF1B	EPHB4	IL2RA	TNFRSF11B	TFF3	MEPE	HSPG2	LTBR	TIMP4	TREML2	FABP4	GDF15	DLK1	CXCL16	RETN	IGFBP1	CHIT1	AXL	MB	PLAUR	SPP1	PGLYRP1	CPA1	LGALS4	SIRPA	CCL15	CPB1	CHI3L1	SCGB3A2	IGFBP7	CD93	IL18BP	CTSZ	MMP3	IGFBP2	NPPA	CCL16	ADM	PGF	IL4R	IL1RN	TNFRSF10A	TNFRSF11A	TNFRSF10B	FGF21	AGER	FGF23	HAVCR1	VSIG2	CEACAM8	MMP7	MMP12	TNFRSF13B	CD4	CDSN	LILRB4	KRT19	ITM2A	CKAP4	CLEC4D	TREM1	CXADR	FAM3B	NCR1	LAMP3	CLEC7A	CD83	BTN3A2	VEGFA	TNFRSF6B	SDC1	TGFBR2	IFNGR1	KLK11	TFPI2	TGFA	NECTIN4	EPHA2	CD27	DLL1	MDK	VIM	TNFRSF19	CD160	TNFRSF4	CCN4	PPY	WFDC2	CXCL13	ADAMTS15	RSPO3	FOLR1	IL6																																																																													
Novel Glioma Serum Biomarkers	Brain glioma	36959545	PubMed	Increased expression against meningioma {gene}	prognostic_biomarker	GFAP	NEFL	EDDM3B	PROK1	MMP3	CTRL	GP2	SPINT3																																																																																																																																																																			
Novel Glioma Serum Biomarkers	Brain glioma	36959545	PubMed	Decreased expression against meningioma {gene}	prognostic_biomarker	FABP4	ALDH3A1	IL12B	OXT																																																																																																																																																																							
Neurombiochemical analytes for fluoxetine response	Depression	22113448	PubMed	Fluoxetine Response markers {gene}	prognostic_biomarker	GLO1	GNB1	GFAP	S100B	HDAC5	CADM1																																																																																																																																																																					
Prognostic Markers for Papillary Thyroid Cancer	Thyroid cancer	33345267	PubMed	Increased expression {gene}	prognostic_biomarker	GATA5	LRRN4CL	OGDHL	PSAT1	SLC25A47	TWIST2	CXCL10	ADGRG5	ASB2	DMBT1	GPR34	GZMK	GZMM	HTRA1	TBX21																																																																																																																																																												
Liver Disease Normal to CHB	Chronic Hepatitis B	37209815	PubMed	Normal to Chronic Hepatitis B panel biomarker {gene}	prognostic_biomarker	C7	ANPEP	IGLV319	IGLV140	QSOX1	IGLV327	A2M	IGHV551	IGHV434	IGKV41	SERPINA3	HABP2	LCAT	RBP4	F10	ORM1	C4BPB	PCYOX1	CFHR2	CPN1	F2																																																																																																																																																						
Liver Disease Normal to Liver Cirrhosis	Liver Cirrhosis	37209815	PubMed	Normal to Liver Cirrhosis panel biomarker {gene}	prognostic_biomarker	VWF	IGKV41	HSPG2	NRP1	C7	IGHV39	IGLV147	IGKV15	JCHAIN	LUM	PIGR	IGKV127	IGKV116	IGHV37	ICAM2	CD5L	TGFBI	IGLV327	IGFBP2	FBLN1	IGHV551	IGHV5101	IGHA1	LGALS3BP	FGG	KLKB1	CFB	F10	CPN2	APOC1	CLU	SERPIND1	C1S																																																																																																																																										
Liver Disease Normal to Hepatocellular Carcinoma	Hepatocellular Carcinoma	37209815	PubMed	Normal to Hepatocellular Carcinoma panel biomarker {gene}	prognostic_biomarker	ANPEP	IGKV41	VWF	TGFBI	LYVE1	PIGR	IGHV226	HSPG2	FUCA1	IGLV140	IGKV18	F12	PROZ	IGF1	F10	APOM	PLG	APOC1																																																																																																																																																									
Liver Disease Liver Cirrhosis vs Chronic Hepatitis B	Liver Cirrhosis	37209815	PubMed	Liver Cirrhosis vs Chronic Hepatitis B panel biomarker {gene}	prognostic_biomarker	IGKV41	HSPG2	IGHA1	NRP1	LUM	JCHAIN	IGFBP2	IGKV315	IGHV37	VWF	IGKV18	CD5L	CFI	CAMP	CLU	SPARC	PON3	THBS1	CPN2	APOA2	MASP2	FCN3	C3	GC	C4BPA	APOC1	PPBP	APOM	PLG																																																																																																																																														
Liver Disease Hepatocellular Carcinoma  vs Chronic Hepatitis B	Hepatocellular Carcinoma	37209815	PubMed	Hepatocellular Carcinoma  vs Chronic Hepatitis B panel biomarker {gene}	prognostic_biomarker	ITIH4	HSPG2	C9	C4B	IGFBP2	SERPINA1	SERPINA3	LUM	PROZ	CLU	PLG	PPBP	AFM	APOC1																																																																																																																																																													
Liver Disease Hepatocellular Carcinoma  vs Liver Cirrhosis	Hepatocellular Carcinoma	37209815	PubMed	Hepatocellular Carcinoma  vs Liver Cirrhosis panel biomarker {gene}	prognostic_biomarker	SERPIND1	CPB2	CPN2	RBP4	PLG	F13B	C4BPA	C4BPB	KLKB1	CPN1	C6	SERPINA10	HP	C5	SPARC	GC	F7	C3	SAA1	C2	AGT	APCS	APOM	C1RL	MCAM	FBLN1	IGKV41	CDH5	IGLV140	IGHV434	IGKV320	IGHV349	IGKV2D29	HSPG2	IGHV551	CD5L	JCHAIN	EFEMP1																																																																																																																																					
Psoriatic Arthritis Diagnosis Biomarkers	Psoriatic Arthritis	36289648	PubMed	Psoriatic Arthrithis Biomarker {gene}	diagnostic_biomarker	CCL1	CCL20	CCL7	CD5L	COMP	CPN2	CRP	CYP27A1	CX3CL1	CXCL10	CXCL12	CXCL2	CXCL5	DKK1	ESR1	FHL1	GPS1	HAT1	IFI16	IL17A	IL17C	IL17F	IL2	IL23R	IL3	IL34	IL36G	IL6	ISG20	ITGB5	KRT17	LGALS3BP	MMP3	MPO	TNFRSF11B	POSTN	PTPA	PRL	TNFSF11	SETD2	SNCA	SRP14	SRPX	STAT3	STAT6	STIP1	SYK	TBX21	TNF	VCP	FLT4	CHI3L1																																																																																																																							
Proximity Extension Assay	Heart disease	37963145	PubMed	Changes in Independent Blood Biomarker in Proximity Extension Assay of {gene}	diagnostic_biomarker, monitoring_biomarker	KITLG	FGF23	HGF	IL6	MMP12	VEGFD	TNFRSF10B	ADM	GDF15	SPP1	TNFRSF11B	TFF3	PLAUR	CHI3L1																																																																																																																																																													
NGS in SCLC 	Lung mixed small cell and squamous cell carcinoma	31476386	PubMed	Mutations and expression of {gene}	prognostic_biomarker	MGMT	MRC1	TLE3	TOP1	TUBB3	ARID1A	BRCA1	EZH2	PTEN	SSTR2																																																																																																																																																																	
Cancer Stem Cells in Sarcomas	Sarcoma	37173919	PubMed	Cancer Stem Cell biomarker expression for {gene}	prognostic_biomarker	CXCR4	SOX2	NANOG	PROM1	CD44																																																																																																																																																																						
Lymph Node Metastasis in HNSCC	Head and neck squamous cell carcinoma	24212639	PubMed	Change in expression level of {gene}	prognostic_biomarker	MET	CEP55	CD44	MMP9	MMP14	CXCR4	CCR7																																																																																																																																																																				
Urinary Biomarkers	Chronic Kidney Disease	34136786	PubMed	2-fold higher level expression of {gene}	prognostic_biomarker	KIM1	IL18	LCN2	AMBP	B2M	TFF3	CCL2	EGF	CHI3L1	NGAL	MCP1																																																																																																																																																																
EED Biomarkers	Gastrointestinal system disease	34825149	PubMed	Change in Concentration level of {gene} for enteric dysfunction	response_biomarker	SERPINA1	CRP	CIT	FABP2	MPO	REG1B																																																																																																																																																																					
Genetic Variations on Aspirin Resistance	Cardiovascular system disease	36918009	PubMed	Significant variant in {gene}	response_biomarker	PON1	P2RY1	ABCB1	TBXA2R	PLA2G7	ITGB3	GP1BA	PTGS2	ALOX5AP	PTGS1	ALOX12																																																																																																																																																																
Serum Inflammatory Biomarkers	Traumatic Brain Injury	35815027	PubMed	Neruological symptom association with {gene}	monitoring_biomarker	IL4	IL5	IL6	IL7	CXCL8	IL10	TNF																																																																																																																																																																				
Postoperative Delirium Prediction	Subacute delirium	36224337	PubMed	Increased expression levels of {gene}	prognostic_biomarker, monitoring_biomarker	PNFH	MMP9	SELP	PECAM1	IL6	PAI1																																																																																																																																																																					
Oncuria Bladder Cancer Detection	Bladder Cancer	33823873	PubMed	Oncuria urine test expression levels of {gene}	diagnostic_biomarker	MMP9	VEGFA	SDC1	APOE	CA9	ANG	MMP10	A1AT	PAI1																																																																																																																																																																		
Postpartum Depression Up Genes	Postpartum Depression	37892657	PubMed	Increased concentration of {gene}	prognostic_biomarker	CCL11	CCL2	CCL4	CCL5	CRP	CXCL8	IL17	IL18	IL1B	IL2	IL3	IL6	IL8	TGFB2	TNF																																																																																																																																																												
Postpartum Depression Down Genes	Postpartum Depression	37892657	PubMed	Decreased concentration of {gene}	prognostic_biomarker	BDNF	CCR2	CX3CL1	IL10	IL4	IFNG	TGFB1	TGFB3																																																																																																																																																																			
Diagnosis and prognosis of chronic periodontitis	Periodontitis	30922293	PubMed	Common biomarker candidate {gene}	prognostic_biomarker, diagnostic_biomarker	ALOX5	APOC1	ARHGDIB	BDNF	CCL19	CCR7	CSF3	CXCL12	CXCR4	CYGB	EIF4E	EREG	ESR1	IGH	IL1B	KDR	LCK	LCP1	LGALS1	LYVE1	MMP9	MS4A1	PAPPA	PDGFRB	PECAM1	PRKCB	PTPRC	SERPINA1	SFRP2	STRA6	TAGLN	TIMP4	TNFSF13B	TPM1	VIM																																																																																																																																								
Biomarkers with increased expression due to AD-related neuroinflammation	Alzheimer's Disease	36142483	PubMed	Increased expression due to AD-related neuroinflammation {gene}	prognostic_biomarker	TSPO	CHI3L1	ICAM1	GFAP	CCL2	S100B	TREM2	VCAM1																																																																																																																																																																			
Blood Biomarkers	Traumatic Brain Injury	30323770	PubMed	Blood biomarker panel {gene}	prognostic_biomarker	ENO2	CKB	NRGN	VSNL1	BDNF	CCL2	MMP9																																																																																																																																																																				
Mesothelioma Marker Genes	Malignant pleural mesothelioma	35127947	PubMed	Significant prognostic biomarker with external validation {gene}	prognostic_biomarker	SDC2	TCF7L1	POLR3D	CD38	CD1A	CYP3A4	HMGCL	ACAT2	CYP27A1	PLB1	DPYS	GAD1	LTC4S	PTGS1	BCAT1	BCKDHA	BCKDHB	ACTG1	ACTN1																																																																																																																																																								
Pancreatic Cancer Biomarkers	Pancreatic Cancer	29123261	PubMed	Pancreatic cancer panel {gene}	prognostic_biomarker	APOE	ITIH3	APOA1	APOL1																																																																																																																																																																							
Increased inflammatory markers for Atrial Septal Defect	Atrial Septal Defect	35979016	PubMed	Increased inflammatory markers {gene}	prognostic_biomarker	AXIN1	CASP8	CCL3	CCL4	CCL11	CCL23	CD40	CXCL1	CXCL6	CXCL11	DNER	GDNF	HGF	CCL2	CCL7	MMP1	OSM	SIRT2	SULT1A1	TNFSF14	TNFSF12	VEGFA																																																																																																																																																					
Cutaneous Leishmaniasis Biomarkers	Cutaneous Leishmaniasis	32601369	PubMed	Polyamine synthetic pathways biomarkers {gene}	prognostic_biomarker	ARG1	ODC1	SAT1	SMS	SRM	OAZ1	PAOX																																																																																																																																																																				
Prognostic Biomarkers For Better Survival in TSCC	Tongue Squamous Cell Carcinoma	35912229	PubMed	Better survival indication panel {gene}	prognostic_biomarker	PLXNB1	PITX1	N4BP3	SH2D4A	RALGPS1	NKX23	SIGIRR	PPFIBP2	LMF1	IL34	ZFP3	HLF	SLC25A23	FAM83E	SIM2																																																																																																																																																												
Prognostic Biomarkers For Poor Survival in TSCC	Tongue Squamous Cell Carcinoma	35912229	PubMed	Poor survival indication panel {gene}	prognostic_biomarker	ZNF281	MYO1B	BASP1	CSF2	DSE	GOPC	DCBLD1	KDELR2	FKBP14	INHBA	CALU	MSC	INTS8	MTDH	DERL1	NEK6	PLAU	SERPINH1	OAF	ITGA5	PXN	HSPH1	SNAPC1	ACTN1	SCG5	CMIP	AXL	PVR	MAP7D3																																																																																																																																														
Covid 19 Gene Associations	COVID-19	33260035	PubMed	Associated panel expression with Covid {gene}	prognostic_biomarker	RPA2	POLD4	MAPK8	IRF7	JUN	NFKB1	NFKBIA	CD40LG	FASLG	ICAM1	LIFR	STAT2	CCR1																																																																																																																																																														
HPV-LF Biomarkers	Hepatitis B	36275632	PubMed	Diagnostic marker expression {gene}	diagnostic_biomarker	TRIM22	DDB2	VCAN	PLPP2	PROM1	GASK1A	PDK4																																																																																																																																																																				
Serum Biomarkers for psychosis	Drug psychosis	30655509	PubMed	Increased expression of {gene}	prognostic_biomarker	IL7	IL15	IL17A	IFNG	TNF	ICAM1	VCAM1																																																																																																																																																																				
Ovarian Clear Cell Carcinoma Molecular Biomarkers	Ovarian Clear Cell Carcinoma	28187748	PubMed	Molecular marker panel {gene}	prognostic_biomarker, response_biomarker	EGFR	ERBB2	PTEN	AURKA	BRCA1	BRCA2	CD274																																																																																																																																																																				
Potential Biomarkers in Colorectal Cancer	Colorectal Cancer	25622259	PubMed	Promoter hypermethylation of tumor suppressor genes {gene}	diagnostic_biomarker	SLC5A8	MINT1	MINT31	SFRP1	SFRP2	CDH13	CRBP1	RUNX3	CDKN2A	HLTF	ITGA4	CDKN2A	CDH1	ESR1																																																																																																																																																													
Biomarkers of Cancer Stem Cells in CCA	Cholangiocarcinoma	28098760	PubMed	Cancer Stem Cell Expression panel {gene}	prognostic_biomarker	ANPEP	CD24	CD44	THY1	PROM1	LGR5																																																																																																																																																																					
Urinary Protein Biomarkers	Bladder Cancer	27717367	PubMed	Increased expression of biomarker panel {gene}	prognostic_biomarker	CXCL8	MMP9	SERPINA1	ANG	VEGFA	CA9	MMP10	APOE	SERPINE1	SDC1																																																																																																																																																																	
Novel and Highly Predictive Biomarkers for Diagnosing Acute Kidney Injury	Nephrolithiasis	32905259	PubMed	Common biomarker panel {gene}	diagnostic_biomarker	LCN2	HAVCR1	IL18	FABP1	MIOX																																																																																																																																																																						
Biomarkers for Thyroid C Cell-Derived Malignancy	Medullary Thyroid Carcinoma	36713370	PubMed	Biomarker panel {gene}	prognostic_biomarker	ID1	PCSK1	SCG2	SNAP91	KIF5C	CHGB	RAB3A	NEFL	CHGA	CALCA	PTPRN	APLP1	UCHL1	CDK5R2	SV2A	NEFM	BATF3	GMEB1	NFIA	REST	ZNF281																																																																																																																																																						
T-helper cell biomarkers, Tcm biomarkers, macrophage biomarkers	Hepatocellular carcinoma	35236289	PubMed	Signficant association to ROBO1 panel {gene}	prognostic_biomarker	CXCR3	CCR4	CCR6	CCR10	SELL	CCR5	CD58	TCF7	PTGDR2	IL5	IL10	PPARG	IRF5	CD68																																																																																																																																																													
Immuno-infiltrating MAP1A	Bladder cancer	36408130	PubMed	High risk biomarker panel {gene}	prognostic_biomarker	MXRA7	LAMA2	AHNAK	EMP1	MAP1A	PRKG1	SVIL	PID1	NCAM1	JAM3	EFEMP1																																																																																																																																																																
Pro-inflammatory biomarkers	Cardiovascular system disease	31193994	PubMed	Pro-inflammatory biomarkers {gene}	prognostic_biomarker	CCL2	CCL15	CCL16	CHI3L1	CXCL16	LGALS4	GDF15	MMP3	MMP9	NPPB	PGLYRP1	PON3	SCGB3A2	PLAUR	TNF	TNFRSF1A	PLAT	TRAIL																																																																																																																																																									
Potential COPD biomarkers	Chronic obstructive pulmonary disease	19386108	PubMed	COPD biomarker panel {gene}	diagnostic_biomarker	IFNG	IL1B	IL4	IL6	IL10	IL13	IL18	CXCL10	MMP2	MMP12	TIMP1	TNF																																																																																																																																																															
Biomarkers by ELISA for PT	Pulmonary Tuberculosis	35720382	PubMed	Signifcant increased expression {gene}	diagnostic_biomarker	CALCOCO2	SAMD9L	GBP1	IFITM3	IFIT3	SNX10																																																																																																																																																																					
